xi;vi;v2i;vi-v2i;E;hi;c1;c2
0.00125;1.00124;1.00124;6.88338e-15;7.34227e-15;0.00125;3;0
0.0025;1.00247;1.00247;6.88338e-15;7.34227e-15;0.00125;3;0
0.00375;1.00369;1.00369;6.43929e-15;6.86858e-15;0.00125;3;0
0.005;1.0049;1.0049;6.43929e-15;6.86858e-15;0.00125;3;0
0.00625;1.00609;1.00609;5.9952e-15;6.39488e-15;0.00125;3;0
0.0075;1.00727;1.00727;5.77316e-15;6.15804e-15;0.00125;3;0
0.00875;1.00844;1.00844;5.55112e-15;5.92119e-15;0.00125;3;0
0.01;1.00959;1.00959;5.55112e-15;5.92119e-15;0.00125;3;0
0.01125;1.01073;1.01073;5.32907e-15;5.68434e-15;0.00125;3;0
0.0125;1.01186;1.01186;4.88498e-15;5.21065e-15;0.00125;3;0
0.01375;1.01297;1.01297;4.66294e-15;4.9738e-15;0.00125;3;0
0.015;1.01407;1.01407;4.44089e-15;4.73695e-15;0.00125;3;0
0.01625;1.01515;1.01515;4.21885e-15;4.5001e-15;0.00125;3;0
0.0175;1.01622;1.01622;3.9968e-15;4.26326e-15;0.00125;3;0
0.01875;1.01728;1.01728;3.55271e-15;3.78956e-15;0.00125;3;0
0.02;1.01832;1.01832;3.55271e-15;3.78956e-15;0.00125;3;0
0.02125;1.01935;1.01935;3.10862e-15;3.31587e-15;0.00125;3;0
0.0225;1.02037;1.02037;2.66454e-15;2.84217e-15;0.00125;3;0
0.02375;1.02137;1.02137;2.44249e-15;2.60532e-15;0.00125;3;0
0.025;1.02236;1.02236;2.44249e-15;2.60532e-15;0.00125;3;0
0.02625;1.02333;1.02333;1.9984e-15;2.13163e-15;0.00125;3;0
0.0275;1.02429;1.02429;1.77636e-15;1.89478e-15;0.00125;3;0
0.02875;1.02523;1.02523;1.33227e-15;1.42109e-15;0.00125;3;0
0.03;1.02616;1.02616;1.11022e-15;1.18424e-15;0.00125;3;0
0.03125;1.02708;1.02708;1.11022e-15;1.18424e-15;0.00125;3;0
0.0325;1.02798;1.02798;4.44089e-16;4.73695e-16;0.00125;3;1
0.035;1.02974;1.02974;4.88498e-15;5.21065e-15;0.0025;3;1
0.0375;1.03144;1.03144;-1.31006e-14;1.3974e-14;0.0025;3;1
0.03875;1.03227;1.03227;-6.66134e-16;7.10543e-16;0.00125;4;1
0.04;1.03309;1.03309;-8.88178e-16;9.4739e-16;0.00125;4;1
0.04125;1.03389;1.03389;-1.33227e-15;1.42109e-15;0.00125;4;1
0.0425;1.03468;1.03468;-1.77636e-15;1.89478e-15;0.00125;4;1
0.04375;1.03545;1.03545;-1.77636e-15;1.89478e-15;0.00125;4;1
0.045;1.03621;1.03621;-1.9984e-15;2.13163e-15;0.00125;4;1
0.04625;1.03695;1.03695;-2.44249e-15;2.60532e-15;0.00125;4;1
0.0475;1.03768;1.03768;-2.66454e-15;2.84217e-15;0.00125;4;1
0.04875;1.03839;1.03839;-2.88658e-15;3.07902e-15;0.00125;4;1
0.05;1.03909;1.03909;-3.10862e-15;3.31587e-15;0.00125;4;1
0.05125;1.03978;1.03978;-3.33067e-15;3.55271e-15;0.00125;4;1
0.0525;1.04045;1.04045;-3.55271e-15;3.78956e-15;0.00125;4;1
0.05375;1.04111;1.04111;-3.77476e-15;4.02641e-15;0.00125;4;1
0.055;1.04176;1.04176;-3.9968e-15;4.26326e-15;0.00125;4;1
0.05625;1.04239;1.04239;-4.21885e-15;4.5001e-15;0.00125;4;1
0.0575;1.04301;1.04301;-4.44089e-15;4.73695e-15;0.00125;4;1
0.05875;1.04361;1.04361;-4.66294e-15;4.9738e-15;0.00125;4;1
0.06;1.0442;1.0442;-4.88498e-15;5.21065e-15;0.00125;4;1
0.06125;1.04478;1.04478;-5.10703e-15;5.44749e-15;0.00125;4;1
0.0625;1.04534;1.04534;-5.32907e-15;5.68434e-15;0.00125;4;1
0.06375;1.04589;1.04589;-5.10703e-15;5.44749e-15;0.00125;4;1
0.065;1.04642;1.04642;-5.55112e-15;5.92119e-15;0.00125;4;1
0.06625;1.04695;1.04695;-5.77316e-15;6.15804e-15;0.00125;4;1
0.0675;1.04746;1.04746;-5.77316e-15;6.15804e-15;0.00125;4;1
0.06875;1.04796;1.04796;-5.77316e-15;6.15804e-15;0.00125;4;1
0.07;1.04844;1.04844;-5.9952e-15;6.39488e-15;0.00125;4;1
0.07125;1.04891;1.04891;-6.21725e-15;6.63173e-15;0.00125;4;1
0.0725;1.04937;1.04937;-6.21725e-15;6.63173e-15;0.00125;4;1
0.07375;1.04982;1.04982;-6.43929e-15;6.86858e-15;0.00125;4;1
0.075;1.05025;1.05025;-6.43929e-15;6.86858e-15;0.00125;4;1
0.07625;1.05068;1.05068;-6.66134e-15;7.10543e-15;0.00125;4;1
0.0775;1.05109;1.05109;-6.66134e-15;7.10543e-15;0.00125;4;1
0.07875;1.05148;1.05148;-6.66134e-15;7.10543e-15;0.00125;4;1
0.08;1.05187;1.05187;-6.88338e-15;7.34227e-15;0.00125;4;1
0.08125;1.05225;1.05225;-6.88338e-15;7.34227e-15;0.00125;4;1
0.0825;1.05261;1.05261;-6.66134e-15;7.10543e-15;0.00125;4;1
0.08375;1.05296;1.05296;-6.88338e-15;7.34227e-15;0.00125;4;1
0.085;1.05331;1.05331;-6.88338e-15;7.34227e-15;0.00125;4;1
0.08625;1.05364;1.05364;-7.10543e-15;7.57912e-15;0.00125;4;1
0.0875;1.05396;1.05396;-6.88338e-15;7.34227e-15;0.00125;4;1
0.08875;1.05427;1.05427;-6.88338e-15;7.34227e-15;0.00125;4;1
0.09;1.05457;1.05457;-7.10543e-15;7.57912e-15;0.00125;4;1
0.09125;1.05485;1.05485;-7.10543e-15;7.57912e-15;0.00125;4;1
0.0925;1.05513;1.05513;-7.10543e-15;7.57912e-15;0.00125;4;1
0.09375;1.0554;1.0554;-7.10543e-15;7.57912e-15;0.00125;4;1
0.095;1.05566;1.05566;-7.10543e-15;7.57912e-15;0.00125;4;1
0.09625;1.05591;1.05591;-7.10543e-15;7.57912e-15;0.00125;4;1
0.0975;1.05615;1.05615;-7.10543e-15;7.57912e-15;0.00125;4;1
0.09875;1.05638;1.05638;-6.88338e-15;7.34227e-15;0.00125;4;1
0.1;1.05661;1.05661;-6.88338e-15;7.34227e-15;0.00125;4;1
0.10125;1.05682;1.05682;-7.10543e-15;7.57912e-15;0.00125;4;1
0.1025;1.05702;1.05702;-7.10543e-15;7.57912e-15;0.00125;4;1
0.10375;1.05722;1.05722;-6.88338e-15;7.34227e-15;0.00125;4;1
0.105;1.05741;1.05741;-6.88338e-15;7.34227e-15;0.00125;4;1
0.10625;1.05759;1.05759;-6.88338e-15;7.34227e-15;0.00125;4;1
0.1075;1.05777;1.05777;-6.66134e-15;7.10543e-15;0.00125;4;1
0.10875;1.05793;1.05793;-6.88338e-15;7.34227e-15;0.00125;4;1
0.11;1.05809;1.05809;-6.66134e-15;7.10543e-15;0.00125;4;1
0.11125;1.05824;1.05824;-6.66134e-15;7.10543e-15;0.00125;4;1
0.1125;1.05839;1.05839;-6.88338e-15;7.34227e-15;0.00125;4;1
0.11375;1.05852;1.05852;-6.66134e-15;7.10543e-15;0.00125;4;1
0.115;1.05866;1.05866;-6.66134e-15;7.10543e-15;0.00125;4;1
0.11625;1.05878;1.05878;-6.66134e-15;7.10543e-15;0.00125;4;1
