xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.001;1;1;0.00841472;0.00841472;2.22045e-16;-5.40887e-15;0.001;5.77432e-15;2.36848e-16;5.76946e-15;0;1
0.003;1.00004;1.00004;0.0252443;0.0252443;0;-1.73125e-13;0.002;1.84667e-13;0;1.84667e-13;0;2
0.007;1.00021;1.00021;0.0589056;0.0589056;-2.22045e-15;-5.54047e-12;0.004;5.90984e-12;2.36848e-15;5.90984e-12;0;3
0.015;1.00095;1.00095;0.126246;0.126246;-1.27898e-13;-1.77349e-10;0.008;1.89172e-10;1.36424e-13;1.89172e-10;0;4
0.031;1.00405;1.00405;0.261081;0.261081;-7.50733e-12;-5.68286e-09;0.016;6.06172e-09;8.00782e-12;6.06172e-09;0;5
0.063;1.01673;1.01673;0.532008;0.532009;-4.02242e-10;-1.82882e-07;0.032;1.95075e-07;4.29058e-10;1.95075e-07;0;5
0.095;1.03812;1.03812;0.805793;0.805793;4.49842e-10;-1.87552e-07;0.032;2.00056e-07;4.79831e-10;2.00055e-07;0;5
0.127;1.06834;1.06834;1.08375;1.08375;1.89879e-09;-1.95044e-07;0.032;2.08057e-07;2.02538e-09;2.08047e-07;0;5
0.159;1.10754;1.10754;1.36704;1.36704;4.18838e-09;-2.04868e-07;0.032;2.18571e-07;4.4676e-09;2.18526e-07;0;5
0.191;1.1559;1.1559;1.65655;1.65655;7.51573e-09;-2.16157e-07;0.032;2.30707e-07;8.01678e-09;2.30567e-07;0;5
0.223;1.21363;1.21363;1.95287;1.95287;1.19922e-08;-2.27503e-07;0.032;2.43007e-07;1.27916e-08;2.4267e-07;0;5
0.255;1.28096;1.28096;2.25613;2.25613;1.75848e-08;-2.36761e-07;0.032;2.53241e-07;1.87572e-08;2.52545e-07;0;5
0.287;1.3581;1.3581;2.56594;2.56594;2.40381e-08;-2.40884e-07;0.032;2.58219e-07;2.56407e-08;2.56943e-07;0;5
0.319;1.44524;1.44524;2.88122;2.88122;3.07799e-08;-2.35866e-07;0.032;2.53724e-07;3.28319e-08;2.51591e-07;0;5
0.351;1.54253;1.54253;3.20013;3.20013;3.68286e-08;-2.16944e-07;0.032;2.34718e-07;3.92839e-08;2.31407e-07;0;5
0.383;1.65006;1.65006;3.51988;3.51988;4.07328e-08;-1.79219e-07;0.032;1.96042e-07;4.34483e-08;1.91167e-07;0;5
0.415;1.76777;1.76777;3.83669;3.83669;4.05934e-08;-1.18866e-07;0.032;1.3398e-07;4.32996e-08;1.2679e-07;0;5
0.447;1.89552;1.89552;4.14572;4.14572;3.42309e-08;-3.49746e-08;0.032;5.22011e-08;3.6513e-08;3.73062e-08;0;5
0.479;2.03296;2.03296;4.44113;4.44113;1.95539e-08;6.82609e-08;0.032;7.57401e-08;2.08574e-08;7.28116e-08;0;5
0.511;2.17954;2.17954;4.71622;4.71622;-4.85884e-09;1.79697e-07;0.032;1.91746e-07;5.18276e-09;1.91676e-07;0;5
0.543;2.3345;2.3345;4.96367;4.96367;-3.90399e-08;2.80907e-07;0.032;3.02514e-07;4.16426e-08;2.99634e-07;0;5
0.575;2.49684;2.49684;5.176;5.176;-8.09826e-08;3.48598e-07;0.032;3.81739e-07;8.63814e-08;3.71837e-07;0;5
0.607;2.66531;2.66531;5.34604;5.34604;-1.26361e-07;3.60292e-07;0.032;4.07262e-07;1.34785e-07;3.84312e-07;0;5
0.639;2.83847;2.83847;5.46756;5.46756;-1.68919e-07;3.02248e-07;0.032;3.69331e-07;1.8018e-07;3.22398e-07;0;5
0.671;3.01467;3.01467;5.53581;5.53581;-2.01646e-07;1.76665e-07;0.032;2.85961e-07;2.15089e-07;1.88443e-07;0;5
0.703;3.19216;3.19216;5.54802;5.54802;-2.18502e-07;4.41325e-09;0.032;2.33116e-07;2.33069e-07;4.70747e-09;0;5
0.735;3.36913;3.36913;5.50368;5.50368;-2.16141e-07;-1.79197e-07;0.032;2.99482e-07;2.3055e-07;1.91144e-07;0;5
0.767;3.54381;3.54381;5.40462;5.40462;-1.94936e-07;-3.34767e-07;0.032;4.13213e-07;2.07932e-07;3.57085e-07;0;5
0.799;3.71449;3.71449;5.25478;5.25478;-1.58875e-07;-4.31041e-07;0.032;4.90014e-07;1.69466e-07;4.59777e-07;0;5
0.831;3.87963;3.87963;5.05982;5.05982;-1.1436e-07;-4.53676e-07;0.032;4.99059e-07;1.21984e-07;4.83921e-07;0;5
0.863;4.03791;4.03791;4.82658;4.82658;-6.84328e-08;-4.07156e-07;0.032;4.40392e-07;7.2995e-08;4.343e-07;0;5
0.895;4.1882;4.1882;4.56247;4.56247;-2.71e-08;-3.10156e-07;0.032;3.32094e-07;2.89066e-08;3.30833e-07;0;5
0.927;4.32966;4.32966;4.27495;4.27495;5.71027e-09;-1.87501e-07;0.032;2.00094e-07;6.09096e-09;2.00001e-07;0;5
0.959;4.46163;4.46163;3.971;3.971;2.84045e-08;-6.25128e-08;0.032;7.3241e-08;3.02981e-08;6.66803e-08;0;5
0.991;4.58369;4.58369;3.65689;3.65689;4.13497e-08;4.78163e-08;0.032;6.74298e-08;4.41063e-08;5.1004e-08;0;5
1.023;4.69562;4.69562;3.33788;3.33788;4.61824e-08;1.34303e-07;0.032;1.5149e-07;4.92612e-08;1.43257e-07;0;5
1.055;4.79731;4.79731;3.01822;3.01822;4.50952e-08;1.94576e-07;0.032;2.13049e-07;4.81016e-08;2.07548e-07;0;5
1.087;4.88881;4.88881;2.70109;2.70109;4.0283e-08;2.30913e-07;0.032;2.50027e-07;4.29685e-08;2.46307e-07;0;5
1.119;4.97023;4.97023;2.38875;2.38875;3.3609e-08;2.47997e-07;0.032;2.66949e-07;3.58496e-08;2.6453e-07;0;5
1.151;5.04176;5.04176;2.08259;2.08259;2.64665e-08;2.5118e-07;0.032;2.69409e-07;2.8231e-08;2.67925e-07;0;5
1.183;5.10359;5.10359;1.78327;1.78327;1.97762e-08;2.45401e-07;0.032;2.6261e-07;2.10946e-08;2.61761e-07;0;5
1.215;5.15596;5.15596;1.49087;1.49087;1.40571e-08;2.34689e-07;0.032;2.50784e-07;1.49943e-08;2.50335e-07;0;5
1.247;5.19908;5.19908;1.205;1.205;9.52345e-09;2.2205e-07;0.032;2.37071e-07;1.01584e-08;2.36854e-07;0;5
1.279;5.23314;5.23314;0.924878;0.924877;6.17824e-09;2.0957e-07;0.032;2.23639e-07;6.59012e-09;2.23542e-07;0;5
1.311;5.25832;5.25832;0.649448;0.649448;3.89023e-09;1.98608e-07;0.032;2.1189e-07;4.14958e-09;2.11849e-07;0;5
1.343;5.27474;5.27474;0.377461;0.377461;2.44976e-09;1.89996e-07;0.032;2.0268e-07;2.61308e-09;2.02663e-07;0;5
1.375;5.2825;5.2825;0.107528;0.107528;1.60574e-09;1.84209e-07;0.032;1.96497e-07;1.71279e-09;1.9649e-07;0;5
1.407;5.28163;5.28163;-0.161812;-0.161812;1.08773e-09;1.81491e-07;0.032;1.93594e-07;1.16025e-09;1.9359e-07;0;5
1.439;5.27213;5.27213;-0.432043;-0.432043;6.18156e-10;1.8193e-07;0.032;1.94059e-07;6.59367e-10;1.94058e-07;0;5
1.471;5.25395;5.25395;-0.704615;-0.704616;-8.06715e-11;1.85488e-07;0.032;1.97854e-07;8.60496e-11;1.97854e-07;0;5
1.503;5.227;5.227;-0.980895;-0.980895;-1.28002e-09;1.91983e-07;0.032;2.04787e-07;1.36536e-09;2.04782e-07;0;5
1.535;5.19112;5.19112;-1.2621;-1.2621;-3.23417e-09;2.01026e-07;0.032;2.14456e-07;3.44979e-09;2.14428e-07;0;5
1.567;5.14616;5.14616;-1.54924;-1.54924;-6.16106e-09;2.11907e-07;0.032;2.2613e-07;6.5718e-09;2.26034e-07;0;5
1.599;5.0919;5.0919;-1.84301;-1.84301;-1.02093e-08;2.23438e-07;0.032;2.38583e-07;1.08899e-08;2.38334e-07;0;5
1.631;5.02813;5.02813;-2.14373;-2.14373;-1.54072e-08;2.33769e-07;0.032;2.49894e-07;1.64343e-08;2.49353e-07;0;5
1.663;4.95463;4.95463;-2.45121;-2.45121;-2.15914e-08;2.40197e-07;0.032;2.57243e-07;2.30308e-08;2.5621e-07;0;5
1.695;4.87119;4.87119;-2.76465;-2.76465;-2.83176e-08;2.39065e-07;0.032;2.56786e-07;3.02054e-08;2.55003e-07;0;5
1.727;4.77765;4.77765;-3.0825;-3.0825;-3.47646e-08;2.25843e-07;0.032;2.43736e-07;3.70822e-08;2.40899e-07;0;5
1.759;4.67389;4.67389;-3.40232;-3.40233;-3.96569e-08;1.95572e-07;0.032;2.12856e-07;4.23007e-08;2.08611e-07;0;5
1.791;4.55991;4.55991;-3.72072;-3.72072;-4.12499e-08;1.43853e-07;0.032;1.59627e-07;4.39999e-08;1.53444e-07;0;5
1.823;4.43583;4.43583;-4.03324;-4.03324;-3.74361e-08;6.84555e-08;0.032;8.32247e-08;3.99318e-08;7.30192e-08;0;5
1.855;4.30191;4.30191;-4.33441;-4.33441;-2.60345e-08;-2.85598e-08;0.032;4.12216e-08;2.77701e-08;3.04638e-08;0;6
1.887;4.15861;4.15861;-4.6178;-4.6178;-5.29808e-09;-1.38753e-07;0.032;1.48111e-07;5.65128e-09;1.48004e-07;1;6
1.919;4.00663;4.00663;-4.87629;-4.87629;2.54019e-08;-2.46268e-07;0.032;2.64079e-07;2.70953e-08;2.62686e-07;1;6
1.951;3.84688;3.84688;-5.10241;-5.10241;6.48687e-08;-3.29109e-07;0.032;3.57804e-07;6.91933e-08;3.5105e-07;1;6
