xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.001;1;1;0;0;0;0;0.001;0;0;0;0;1
0.003;1;1;0;0;0;0;0.002;0;0;0;0;2
0.007;1;1;0;0;0;0;0.004;0;0;0;0;3
0.015;1;1;0;0;0;0;0.008;0;0;0;0;4
0.031;1;1;0;0;0;0;0.016;0;0;0;0;5
0.063;1;1;0;0;0;0;0.032;0;0;0;0;6
0.127;1;1;0;0;0;0;0.064;0;0;0;0;7
0.255;1;1;0;0;0;0;0.128;0;0;0;0;8
0.511;1;1;0;0;0;0;0.256;0;0;0;0;9
1.023;1;1;0;0;0;0;0.512;0;0;0;0;10
2.047;1;1;0;0;0;0;1.024;0;0;0;0;11
4.095;1;1;0;0;0;0;2.048;0;0;0;0;12
8.191;1;1;0;0;0;0;4.096;0;0;0;0;13
10;1;1;0;0;0;0;1.809;0;0;0;0;13
