xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.001;1.01002;1.01002;10.0322;10.0322;5.15143e-14;-1.47082e-12;0.001;1.56984e-12;5.49486e-14;1.56888e-12;0;1
0.003;1.03015;1.03015;10.0973;10.0973;1.73772e-12;-4.68585e-11;0.002;5.00168e-11;1.85357e-12;4.99824e-11;0;2
0.007;1.0708;1.0708;10.2301;10.2301;6.14186e-11;-1.48095e-09;0.004;1.58104e-09;6.55132e-11;1.57968e-09;0;3
0.015;1.15373;1.15373;10.5057;10.5057;2.31673e-09;-4.55719e-08;0.008;4.86728e-08;2.47118e-09;4.86101e-08;0;4
0.031;1.32644;1.32644;11.0885;11.0885;9.29041e-08;-1.25561e-06;0.016;1.34298e-06;9.90977e-08;1.33932e-06;0;4
0.047;1.5087;1.5087;11.6957;11.6957;1.09801e-07;-7.58125e-07;0.016;8.17104e-07;1.17121e-07;8.08667e-07;0;4
0.063;1.7007;1.7007;12.3021;12.3021;1.02322e-07;6.73526e-09;0.016;1.09379e-07;1.09143e-07;7.18427e-09;0;4
0.079;1.9022;1.9022;12.8782;12.8782;6.17827e-08;9.73584e-07;0.016;1.04058e-06;6.59016e-08;1.03849e-06;0;4
0.087;2.00631;2.00631;13.1449;13.1449;6.71427e-11;5.79619e-08;0.008;6.18261e-08;7.16189e-11;6.18261e-08;1;4
0.095;2.11247;2.11247;13.3918;13.3918;-1.47191e-09;7.3121e-08;0.008;7.80115e-08;1.57003e-09;7.79957e-08;1;4
0.103;2.22051;2.22051;13.6147;13.6147;-3.23915e-09;8.6032e-08;0.008;9.18325e-08;3.45509e-09;9.17674e-08;1;4
0.111;2.33023;2.33023;13.8096;13.8096;-5.16672e-09;9.561e-08;0.008;1.02133e-07;5.51116e-09;1.01984e-07;1;4
0.119;2.44138;2.44138;13.9727;13.9727;-7.16528e-09;1.00909e-07;0.008;1.07908e-07;7.64296e-09;1.07637e-07;1;4
0.127;2.5537;2.5537;14.1005;14.1005;-9.12896e-09;1.01251e-07;0.008;1.08439e-07;9.73755e-09;1.08001e-07;1;4
0.135;2.66689;2.66689;14.1899;14.1899;-1.0943e-08;9.63364e-08;0.008;1.0342e-07;1.16726e-08;1.02759e-07;1;4
0.143;2.78063;2.78063;14.2384;14.2384;-1.24939e-08;8.63234e-08;0.008;9.30377e-08;1.33268e-08;9.20783e-08;1;4
0.151;2.89459;2.89459;14.2441;14.2441;-1.36796e-08;7.18478e-08;0.008;7.80143e-08;1.45915e-08;7.66376e-08;1;4
0.159;3.00842;3.00842;14.2058;14.2058;-1.44207e-08;5.39793e-08;0.008;5.95972e-08;1.5382e-08;5.7578e-08;1;4
