xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
1.001;1.001;1.001;1.00084;1.00084;2.22045e-16;0;0.001;2.36848e-16;2.36848e-16;0;0;1
1.003;1.003;1.003;1.00253;1.00253;0;-4.44089e-16;0.002;4.73695e-16;0;4.73695e-16;0;2
1.007;1.00702;1.00702;1.0059;1.0059;1.11022e-15;-1.06581e-14;0.004;1.14302e-14;1.18424e-15;1.13687e-14;0;3
1.015;1.01509;1.01509;1.01268;1.01268;4.24105e-14;-3.43725e-13;0.008;3.6942e-13;4.52379e-14;3.6664e-13;0;4
1.031;1.03141;1.03141;1.02634;1.02634;1.48459e-12;-1.10234e-11;0.016;1.18645e-11;1.58356e-12;1.17583e-11;0;5
1.063;1.06469;1.06469;1.05407;1.05407;5.56406e-11;-3.53874e-10;0.032;3.82103e-10;5.935e-11;3.77465e-10;0;6
1.127;1.13397;1.13397;1.11106;1.11106;2.30905e-09;-1.13213e-08;0.064;1.23247e-08;2.46299e-09;1.20761e-08;0;7
1.255;1.28376;1.28376;1.2306;1.2306;1.07528e-07;-3.50588e-07;0.128;3.91155e-07;1.14697e-07;3.73961e-07;0;7
1.383;1.44924;1.44924;1.35576;1.35576;1.56137e-07;-3.05087e-07;0.128;3.65568e-07;1.66546e-07;3.25426e-07;0;7
1.511;1.63095;1.63095;1.48352;1.48352;1.82789e-07;-1.99377e-07;0.128;2.88519e-07;1.94975e-07;2.12669e-07;0;7
1.639;1.82896;1.82896;1.60972;1.60972;1.64292e-07;-2.60087e-08;0.128;1.77427e-07;1.75245e-07;2.77426e-08;0;7
1.767;2.04275;2.04275;1.72912;1.72912;7.69533e-08;1.98604e-07;0.128;2.27191e-07;8.20835e-08;2.11844e-07;0;7
1.895;2.27106;2.27106;1.8356;1.8356;-9.21871e-08;4.22337e-07;0.128;4.611e-07;9.83329e-08;4.50493e-07;0;7
2.023;2.51184;2.51184;1.92274;1.92274;-3.31193e-07;5.61278e-07;0.128;6.95154e-07;3.53273e-07;5.98696e-07;0;7
2.151;2.7622;2.7622;1.98454;1.98454;-5.94487e-07;5.31335e-07;0.128;8.50483e-07;6.3412e-07;5.66757e-07;0;7
2.279;3.01859;3.01859;2.01631;2.01631;-8.10249e-07;3.00694e-07;0.128;9.21862e-07;8.64265e-07;3.20741e-07;0;7
2.407;3.27698;3.27698;2.01552;2.01552;-9.07468e-07;-7.13394e-08;0.128;9.70953e-07;9.67966e-07;7.60953e-08;0;7
2.535;3.53317;3.53317;1.98223;1.98223;-8.50548e-07;-4.48972e-07;0.128;1.02589e-06;9.07251e-07;4.78904e-07;0;7
2.663;3.78315;3.78315;1.9191;1.9191;-6.58732e-07;-6.8981e-07;0.128;1.0174e-06;7.02647e-07;7.35798e-07;0;7
2.791;4.02339;4.02339;1.83088;1.83088;-3.95872e-07;-7.20822e-07;0.128;8.77199e-07;4.22263e-07;7.68877e-07;0;7
2.919;4.25105;4.25105;1.72363;1.72363;-1.38132e-07;-5.64697e-07;0.128;6.20102e-07;1.4734e-07;6.02343e-07;0;7
3.047;4.4641;4.4641;1.60377;1.60377;5.80039e-08;-3.07116e-07;0.128;3.33382e-07;6.18708e-08;3.27591e-07;0;7
3.175;4.66133;4.66133;1.47738;1.47738;1.7009e-07;-4.13021e-08;0.128;1.86701e-07;1.81429e-07;4.40555e-08;0;7
3.303;4.84226;4.84226;1.34966;1.34966;2.05138e-07;1.70457e-07;0.128;2.84496e-07;2.18813e-07;1.81821e-07;0;7
3.431;5.00697;5.00697;1.22471;1.22471;1.85765e-07;3.05449e-07;0.128;3.81335e-07;1.98149e-07;3.25812e-07;0;7
3.559;5.15603;5.15603;1.1055;1.1055;1.37115e-07;3.69509e-07;0.128;4.20404e-07;1.46256e-07;3.94143e-07;0;7
3.687;5.29031;5.29031;0.994001;0.994;7.92529e-08;3.81368e-07;0.128;4.15484e-07;8.45365e-08;4.06793e-07;0;7
3.815;5.41087;5.41087;0.891341;0.891341;2.48831e-08;3.61162e-07;0.128;3.86153e-07;2.6542e-08;3.8524e-07;0;7
3.943;5.51889;5.51889;0.798036;0.798035;-1.97669e-08;3.24905e-07;0.128;3.47206e-07;2.10847e-08;3.46565e-07;0;7
