xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.001;0.0009995;0.0009995;0.999;0.999;-8.0231e-18;0;0.001;8.55797e-18;8.55797e-18;0;0;1
0.003;0.0029955;0.0029955;0.997004;0.997004;-2.498e-16;2.22045e-16;0.002;3.56503e-16;2.66454e-16;2.36848e-16;0;2
0.007;0.00697556;0.00697556;0.993024;0.993024;-7.97192e-15;7.99361e-15;0.004;1.2042e-14;8.50338e-15;8.52651e-15;0;3
0.015;0.0148881;0.0148881;0.985112;0.985112;-2.53932e-13;2.53908e-13;0.008;3.83037e-13;2.70861e-13;2.70835e-13;0;4
0.031;0.0305244;0.0305244;0.969476;0.969476;-8.05214e-12;8.05211e-12;0.016;1.21466e-11;8.58894e-12;8.58892e-12;0;5
0.063;0.0610565;0.0610565;0.938943;0.938943;-2.53016e-10;2.53016e-10;0.032;3.81674e-10;2.69884e-10;2.69884e-10;0;6
0.127;0.119266;0.119266;0.880734;0.880734;-7.80686e-09;7.80686e-09;0.064;1.17766e-08;8.32732e-09;8.32732e-09;0;7
0.255;0.225083;0.225083;0.774917;0.774917;-2.3227e-07;2.3227e-07;0.128;3.50379e-07;2.47755e-07;2.47755e-07;0;7
0.383;0.318187;0.318187;0.681813;0.681813;-2.04364e-07;2.04364e-07;0.128;3.08282e-07;2.17988e-07;2.17988e-07;0;7
0.511;0.400104;0.400104;0.599896;0.599896;-1.7981e-07;1.7981e-07;0.128;2.71243e-07;1.91798e-07;1.91798e-07;0;7
0.639;0.472179;0.47218;0.527821;0.52782;-1.58207e-07;1.58207e-07;0.128;2.38654e-07;1.68754e-07;1.68754e-07;0;7
0.767;0.535595;0.535595;0.464405;0.464405;-1.39199e-07;1.39199e-07;0.128;2.09981e-07;1.48479e-07;1.48479e-07;0;7
0.895;0.591392;0.591392;0.408608;0.408608;-1.22475e-07;1.22475e-07;0.128;1.84752e-07;1.3064e-07;1.3064e-07;0;7
1.023;0.640484;0.640485;0.359516;0.359515;-1.0776e-07;1.0776e-07;0.128;1.62555e-07;1.14944e-07;1.14944e-07;0;7
1.151;0.683679;0.683679;0.316321;0.316321;-9.48128e-08;9.48128e-08;0.128;1.43025e-07;1.01134e-07;1.01134e-07;0;7
