xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.001;1.01;1.01;9.99844;9.99844;5.10703e-15;-1.77636e-14;0.001;1.97153e-14;5.44749e-15;1.89478e-14;0;1
0.003;1.02999;1.02999;9.99549;9.99549;1.69198e-13;-5.93303e-13;0.002;6.58088e-13;1.80478e-13;6.32857e-13;0;2
0.007;1.06996;1.06996;9.99021;9.99021;5.37703e-12;-1.77618e-11;0.004;1.9795e-11;5.7355e-12;1.89459e-11;0;3
0.015;1.14985;1.14985;9.98196;9.98196;1.68646e-10;-4.75083e-10;0.008;5.37737e-10;1.79889e-10;5.06755e-10;0;4
0.031;1.30948;1.30948;9.97295;9.97295;5.01703e-09;-7.34324e-09;0.016;9.48637e-09;5.3515e-09;7.83279e-09;0;5
0.063;1.62855;1.62855;9.97088;9.97088;1.12792e-07;4.45095e-07;0.032;4.89775e-07;1.20311e-07;4.74768e-07;0;5
0.079;1.78808;1.78808;9.96967;9.96967;4.02027e-10;4.41738e-08;0.016;4.71207e-08;4.28829e-10;4.71187e-08;1;5
0.095;1.94755;1.94755;9.96303;9.96303;-2.22519e-09;6.04854e-08;0.016;6.45614e-08;2.37353e-09;6.45178e-08;1;5
0.111;2.10685;2.10685;9.9472;9.9472;-5.19687e-09;7.31735e-08;0.016;7.82483e-08;5.54333e-09;7.80517e-08;1;5
0.127;2.2658;2.2658;9.91875;9.91875;-8.30241e-09;8.07213e-08;0.016;8.65569e-08;8.8559e-09;8.61027e-08;1;5
0.143;2.42417;2.42417;9.87465;9.87465;-1.12958e-08;8.21867e-08;0.016;8.849e-08;1.20489e-08;8.76658e-08;1;5
0.159;2.58169;2.58169;9.8124;9.8124;-1.39238e-08;7.7353e-08;0.016;8.38359e-08;1.4852e-08;8.25099e-08;1;5
0.175;2.73806;2.73806;9.73007;9.73007;-1.59568e-08;6.67761e-08;0.016;7.32333e-08;1.70206e-08;7.12279e-08;1;5
0.191;2.89294;2.89294;9.62637;9.62637;-1.7219e-08;5.17106e-08;0.016;5.81356e-08;1.83669e-08;5.5158e-08;1;5
0.207;3.04598;3.04598;9.50068;9.50068;-1.76105e-08;3.39196e-08;0.016;4.07666e-08;1.87845e-08;3.61809e-08;1;6
0.239;3.34516;3.34516;9.18403;9.18403;-5.34769e-07;1.58767e-07;0.032;5.95029e-07;5.7042e-07;1.69351e-07;1;6
0.271;3.6329;3.6329;8.78739;8.78739;-4.16759e-07;-7.66434e-07;0.032;9.30577e-07;4.44543e-07;8.1753e-07;1;6
0.303;3.90686;3.90686;8.32562;8.32562;-2.49285e-07;-1.16437e-06;0.032;1.27014e-06;2.65904e-07;1.24199e-06;1;6
0.335;4.16525;4.16525;7.81808;7.81809;-8.57206e-08;-1.02947e-06;0.032;1.1019e-06;9.14353e-08;1.0981e-06;1;6
0.367;4.40695;4.40695;7.28555;7.28555;3.55688e-08;-5.54016e-07;0.032;5.92167e-07;3.794e-08;5.90951e-07;1;6
0.399;4.63147;4.63147;6.74755;6.74755;1.00183e-07;2.18237e-08;0.032;1.09368e-07;1.06862e-07;2.32786e-08;1;6
0.431;4.83892;4.83892;6.22077;6.22077;1.13755e-07;5.20178e-07;0.032;5.67969e-07;1.21338e-07;5.54856e-07;1;6
0.463;5.02986;5.02986;5.71825;5.71825;9.21958e-08;8.59125e-07;0.032;9.21661e-07;9.83421e-08;9.164e-07;1;6
0.495;5.20524;5.20524;5.24931;5.24931;5.28194e-08;1.03276e-06;0.032;1.10305e-06;5.63407e-08;1.10161e-06;1;6
0.527;5.36624;5.36624;4.81998;4.81998;9.27016e-09;1.07487e-06;0.032;1.14657e-06;9.88817e-09;1.14653e-06;1;6
0.559;5.51418;5.51418;4.43355;4.43355;-2.99496e-08;1.0296e-06;0.032;1.0987e-06;3.19462e-08;1.09824e-06;1;6
0.591;5.65046;5.65046;4.0913;4.0913;-6.08267e-08;9.35478e-07;0.032;9.9995e-07;6.48818e-08;9.97843e-07;1;6
0.623;5.77649;5.77649;3.79299;3.79299;-8.24314e-08;8.20128e-07;0.032;8.79211e-07;8.79269e-08;8.74803e-07;1;6
0.655;5.89367;5.89367;3.53745;3.53745;-9.55639e-08;7.00716e-07;0.032;7.54349e-07;1.01935e-07;7.4743e-07;1;6
0.687;6.00333;6.00333;3.3229;3.3229;-1.01764e-07;5.86531e-07;0.032;6.3498e-07;1.08548e-07;6.25633e-07;1;6
0.719;6.10675;6.10675;3.14728;3.14728;-1.02705e-07;4.81713e-07;0.032;5.25376e-07;1.09552e-07;5.13827e-07;1;6
0.751;6.20514;6.20514;3.00842;3.00841;-9.98828e-08;3.87381e-07;0.032;4.26721e-07;1.06542e-07;4.13206e-07;1;6
0.783;6.29965;6.29965;2.90415;2.90415;-9.44956e-08;3.0307e-07;0.032;3.38624e-07;1.00795e-07;3.23274e-07;1;6
0.815;6.39136;6.39136;2.83243;2.83243;-8.74253e-08;2.27608e-07;0.032;2.60075e-07;9.32536e-08;2.42781e-07;1;6
0.847;6.48126;6.48126;2.79135;2.79135;-7.9272e-08;1.59613e-07;0.032;1.90096e-07;8.45568e-08;1.70254e-07;1;6
0.879;6.57031;6.57031;2.77916;2.77916;-7.04052e-08;9.77652e-08;0.032;1.2851e-07;7.50989e-08;1.04283e-07;1;6
0.911;6.65941;6.65941;2.79421;2.79421;-6.10177e-08;4.09498e-08;0.032;7.8384e-08;6.50855e-08;4.36798e-08;1;6
0.943;6.74941;6.74941;2.83497;2.83497;-5.11765e-08;-1.16413e-08;0.032;5.59828e-08;5.45883e-08;1.24174e-08;1;6
0.975;6.84111;6.84111;2.89997;2.89997;-4.08707e-08;-6.04237e-08;0.032;7.78114e-08;4.35955e-08;6.44519e-08;1;6
1.007;6.93525;6.93525;2.9877;2.9877;-3.00586e-08;-1.05318e-07;0.032;1.16825e-07;3.20625e-08;1.12339e-07;1;6
1.039;7.03255;7.03255;3.09658;3.09658;-1.87176e-08;-1.45623e-07;0.032;1.56609e-07;1.99654e-08;1.55331e-07;1;6
1.071;7.13364;7.13364;3.22485;3.22485;-6.90107e-09;-1.79878e-07;0.032;1.92011e-07;7.36115e-09;1.9187e-07;1;6
1.103;7.23912;7.23912;3.37047;3.37047;5.19756e-09;-2.05732e-07;0.032;2.19517e-07;5.54407e-09;2.19447e-07;1;6
1.135;7.34951;7.34951;3.53105;3.53105;1.71761e-08;-2.1989e-07;0.032;2.35263e-07;1.83212e-08;2.34549e-07;1;6
1.167;7.46524;7.46524;3.70371;3.70371;2.83584e-08;-2.18211e-07;0.032;2.34716e-07;3.0249e-08;2.32758e-07;1;6
1.199;7.58664;7.58664;3.88501;3.88501;3.7751e-08;-1.96086e-07;0.032;2.12999e-07;4.02677e-08;2.09158e-07;1;6
1.231;7.71393;7.71393;4.07086;4.07086;4.40488e-08;-1.49195e-07;0.032;1.65933e-07;4.69854e-08;1.59142e-07;1;6
1.263;7.84718;7.84718;4.25651;4.25651;4.57242e-08;-7.47166e-08;0.032;9.3437e-08;4.87724e-08;7.96977e-08;1;6
1.295;7.98629;7.98629;4.43652;4.43652;4.123e-08;2.7112e-08;0.032;5.26351e-08;4.39786e-08;2.89194e-08;1;6
1.327;8.13099;8.13099;4.60489;4.60489;2.93294e-08;1.51397e-07;0.032;1.64493e-07;3.12847e-08;1.61491e-07;1;6
1.359;8.28081;8.28081;4.75523;4.75523;9.52143e-09;2.87564e-07;0.032;3.06903e-07;1.01562e-08;3.06735e-07;1;6
1.391;8.43506;8.43506;4.88097;4.88097;-1.753e-08;4.19647e-07;0.032;4.48014e-07;1.86987e-08;4.47624e-07;1;6
1.423;8.59286;8.59286;4.97576;4.97576;-4.97122e-08;5.28516e-07;0.032;5.66239e-07;5.30263e-08;5.63751e-07;1;6
1.455;8.75312;8.75312;5.03384;5.03384;-8.3495e-08;5.96011e-07;0.032;6.41953e-07;8.90614e-08;6.35745e-07;1;6
1.487;8.91458;8.91458;5.05048;5.05048;-1.14389e-07;6.10036e-07;0.032;6.62046e-07;1.22015e-07;6.50705e-07;1;6
1.519;9.07587;9.07587;5.0223;5.0223;-1.37803e-07;5.68794e-07;0.032;6.24265e-07;1.4699e-07;6.06713e-07;1;6
1.551;9.23551;9.23551;4.94758;4.94757;-1.50089e-07;4.82225e-07;0.032;5.38712e-07;1.60095e-07;5.14373e-07;1;6
1.583;9.39202;9.39202;4.82638;4.82638;-1.49446e-07;3.69657e-07;0.032;4.25305e-07;1.59409e-07;3.94301e-07;1;6
1.615;9.54392;9.54392;4.66053;4.66053;-1.36348e-07;2.54326e-07;0.032;3.07808e-07;1.45438e-07;2.71281e-07;1;6
1.647;9.68985;9.68985;4.45339;4.45339;-1.13353e-07;1.56916e-07;0.032;2.06481e-07;1.2091e-07;1.67377e-07;1;6
1.679;9.82855;9.82855;4.20955;4.20955;-8.43658e-08;9.06084e-08;0.032;1.32058e-07;8.99902e-08;9.6649e-08;1;6
1.711;9.95893;9.95893;3.93443;3.93443;-5.36578e-08;5.92316e-08;0.032;8.52502e-08;5.72349e-08;6.31804e-08;1;6
1.743;10.0801;10.0801;3.63389;3.63389;-2.49614e-08;5.8537e-08;0.032;6.78793e-08;2.66255e-08;6.24394e-08;1;6
